리뷰ID,리뷰텍스트,작성일,상품카테고리,평점
R001,주문하고 이틀만에 받았어요. 포장도 꼼꼼하고 상품 상태도 완벽합니다. 재구매 의사 있어요!,2025-12-01,가전,5
R002,배송이 일주일이나 걸렸네요. 거기다 박스가 찌그러져서 왔어요. 상품은 다행히 멀쩡하지만 기분이 별로입니다.,2025-12-02,생활용품,2
R003,가격 대비 괜찮은 것 같아요. 엄청 좋진 않지만 이 가격이면 납득할 수 있는 수준이에요.,2025-12-03,의류,3
R004,고객센터에 세 번 전화했는데 매번 연결이 안 됩니다. 교환 요청한 지 2주째인데 아직 처리가 안 됐어요.,2025-12-04,가전,1
R005,소재가 생각보다 얇아요. 사진이랑 색상도 좀 다르고요. 반품하려다가 귀찮아서 그냥 씁니다.,2025-12-05,의류,2
R006,아이가 너무 좋아해요! 선물용으로 딱이에요. 다음에 조카 선물로도 하나 더 살 생각입니다.,2025-12-06,완구,5
R007,설명서가 없어서 조립하는 데 한참 걸렸어요. 유튜브 보고 겨우 했습니다. 제품 자체는 나쁘지 않아요.,2025-12-07,가구,3
R008,한 달 쓰니까 고장 났어요. AS 신청하니까 택배로 보내래요. 무상수리 기간인데 왜 택배비를 제가 내야 하나요?,2025-12-08,가전,1
R009,디자인이 정말 예뻐요. 거실에 놓으니까 분위기가 확 달라졌어요. 가격이 좀 있지만 그만한 가치가 있습니다.,2025-12-09,가구,5
R010,세일 때 싸게 사서 만족합니다. 원래 가격이었으면 안 샀을 거예요. 품질은 보통이에요.,2025-12-10,생활용품,3
R011,사이즈가 정확하게 맞아요. 온라인으로 옷 사면 항상 사이즈 때문에 걱정인데 이건 딱 맞네요.,2025-12-11,의류,4
R012,냄새가 너무 심해요. 환기를 며칠 했는데도 화학 냄새가 안 빠집니다. 건강에 문제 있을까 봐 걱정돼요.,2025-12-12,가구,1
R013,배터리가 오래 가요. 충전 한 번에 3일은 쓰는 것 같아요. 출장 많은 사람한테 강추합니다.,2025-12-13,가전,5
R014,배송 중 파손돼서 왔는데 판매자한테 연락하니까 바로 새 제품 보내줬어요. 대응이 빨라서 좋았습니다.,2025-12-14,생활용품,4
R015,두 번째 구매인데 품질이 예전이랑 달라졌어요. 원단이 더 얇아진 느낌이에요. 좀 실망스럽네요.,2025-12-15,의류,2
R016,포장을 선물용으로 해달라고 했는데 정성스럽게 해주셔서 감사합니다. 받는 분이 좋아하셨어요.,2025-12-16,식품,5
R017,유통기한이 2주밖에 안 남은 제품이 왔어요. 이건 좀 아니지 않나요? 미리 고지해주셔야죠.,2025-12-17,식품,1
R018,작동은 잘 되는데 소음이 생각보다 커요. 밤에 쓰기는 좀 그렇습니다. 낮에만 써야 할 것 같아요.,2025-12-18,가전,3
R019,가성비 최고입니다. 비싼 브랜드 제품이랑 비교해도 크게 차이 안 나요. 앞으로 이것만 살 거예요.,2025-12-19,생활용품,5
R020,앱 연동이 잘 안 돼요. 블루투스 연결이 자꾸 끊깁니다. 펌웨어 업데이트를 해도 마찬가지예요.,2025-12-20,가전,2
R021,반찬통으로 쓰기 딱 좋아요. 밀폐도 잘 되고 전자레인지에도 돌릴 수 있어서 편해요.,2025-12-21,생활용품,4
R022,이 가격에 이 품질이면 최고죠. 친구들한테도 추천했어요. 다들 만족한다고 합니다.,2025-12-22,의류,5
R023,주문한 색상이랑 다른 색이 왔어요. 교환하려니까 재고가 없대요. 환불 처리는 빠르게 해줬지만 불편합니다.,2025-12-23,가구,2
R024,처음 써보는 브랜드인데 괜찮네요. 대단하진 않지만 실패는 아닌 것 같아요.,2025-12-24,식품,3
R025,매장에서 보고 온라인으로 샀는데 역시 실물이 나아요. 근데 온라인 가격이 더 싸서 여기서 삽니다.,2025-12-25,가전,4
R026,3개 주문했는데 2개만 왔어요. 문의하니까 다음 주에 나머지 보내준다고 하네요. 한번에 보내주시지...,2025-12-26,식품,2
R027,어르신 선물로 드렸는데 사용법이 쉬워서 혼자서도 잘 쓰세요. 큰 글씨 모드가 있어서 좋아요.,2025-12-27,가전,5
R028,전에 쓰던 제품보다 용량이 커서 좋아요. 한 번 빨래할 때 더 많이 넣을 수 있어서 시간이 절약됩니다.,2025-12-28,가전,4
R029,원래 리뷰 안 쓰는데 너무 별로라서 씁니다. 봉제선이 뜯어져 있었고 실밥도 여기저기 나와 있었어요.,2025-12-29,의류,1
R030,5번째 재구매입니다. 매번 같은 맛이라 믿고 삽니다. 시키면 빨리 오는 것도 장점이에요.,2025-12-30,식품,5
R031,설치 기사님이 친절하시고 꼼꼼하게 해주셨어요. 제품도 마음에 들어요. 전체적으로 만족합니다.,2025-12-31,가구,5
R032,다른 리뷰 보고 기대했는데 생각보다 별로예요. 과대광고인 것 같아요.,2026-01-01,생활용품,2
R033,계절 바뀔 때마다 사는데 이번 시즌 디자인이 특히 예쁘네요. 컬러 선택도 다양해서 좋습니다.,2026-01-02,의류,4
R034,배송 추적이 안 돼서 불안했는데 정확한 날짜에 잘 왔어요. 추적 시스템 좀 개선해주세요.,2026-01-03,생활용품,3
R035,리뷰 이벤트 당첨돼서 할인받고 샀어요. 품질은 가격 대비 만족입니다.,2026-01-04,식품,4
R036,상담원이 정말 친절했어요. 문제를 바로 해결해주셔서 오히려 더 좋은 인상을 받았습니다.,2026-01-05,가전,4
R037,아직 한 달도 안 썼는데 버튼이 안 눌려요. 교환 요청했습니다. 내구성이 너무 약한 것 같아요.,2026-01-06,가전,1
R038,냉장 보관이라 신선하게 왔어요. 맛도 좋고 양도 넉넉합니다. 명절 선물로도 좋을 것 같아요.,2026-01-07,식품,5
