나이,성별,연소득,근속연수,주거형태,신용점수,기존대출건수,연간카드사용액,부채비율,대출신청액,대출목적,상환방식,대출기간,승인여부
42,여,4500,16,전세,613,2,3140,28.5,3000,자동차,원금균등,36,1
36,남,2400,4,월세,437,3,1260,54.2,2200,주택구입,원리금균등,36,0
43,남,4900,15,월세,623,2,3210,28.2,3800,자동차,원리금균등,48,1
51,여,2500,22,자가,608,1,1720,35.7,5600,전세자금,원리금균등,36,0
35,여,3900,3,월세,549,0,1630,49.5,7300,생활비,원리금균등,24,0
35,여,4200,7,자가,694,4,750,71.1,4300,주택구입,만기일시,24,1
52,남,4300,1,전세,562,0,1130,34.0,1600,전세자금,원금균등,36,1
44,남,4600,5,자가,507,1,870,49.9,1400,자동차,원리금균등,60,1
33,남,6200,6,자가,535,2,1630,20.9,5300,생활비,원리금균등,12,1
42,남,3700,4,자가,604,0,1460,61.0,1800,사업자금,만기일시,24,1
33,남,2500,3,전세,643,3,550,57.8,4000,자동차,원리금균등,60,0
33,여,4800,4,자가,590,1,1200,17.0,3200,사업자금,원리금균등,24,1
40,여,6700,10,월세,672,0,2790,33.6,5800,자동차,만기일시,36,1
23,남,2600,0,자가,574,1,920,24.9,3800,생활비,만기일시,24,0
23,여,2900,0,월세,642,0,1240,47.2,2900,사업자금,원리금균등,36,1
32,여,4500,0,월세,389,1,1830,36.9,8400,의료비,원리금균등,36,0
28,남,2400,3,전세,592,0,1280,3.0,4500,사업자금,원리금균등,24,0
40,남,3500,6,자가,643,2,2490,31.2,3900,사업자금,원리금균등,36,1
29,남,4500,2,월세,447,1,960,31.2,2100,자동차,원금균등,48,1
25,남,4600,1,월세,480,1,960,42.2,1600,주택구입,원리금균등,48,1
51,남,6000,10,전세,541,1,3970,39.0,2600,자동차,원리금균등,36,1
35,남,2800,7,전세,504,1,1270,21.9,1400,교육비,원리금균등,36,0
38,남,7100,3,전세,547,1,4320,20.2,2500,생활비,만기일시,36,1
25,남,2300,0,월세,542,0,640,36.1,4400,교육비,원리금균등,36,0
33,여,2800,4,자가,617,1,1810,45.8,4900,주택구입,원리금균등,48,0
38,여,3900,9,전세,670,1,2740,33.0,2500,전세자금,만기일시,48,1
27,남,4700,2,전세,489,2,2490,74.2,13000,교육비,원리금균등,36,0
41,여,4900,2,전세,491,0,1040,43.1,5600,자동차,원리금균등,24,1
32,남,3800,5,월세,668,3,2610,70.9,2900,교육비,원리금균등,24,0
35,남,4200,2,전세,603,1,2620,54.3,5300,의료비,원리금균등,24,0
32,여,3000,2,자가,546,0,1800,11.9,2200,전세자금,원리금균등,60,1
54,여,5800,14,자가,665,1,990,62.2,3400,사업자금,원리금균등,48,1
37,여,1600,2,전세,523,1,1000,63.6,2500,전세자금,원리금균등,36,0
28,여,2400,3,전세,580,3,550,41.9,1600,주택구입,원리금균등,24,0
45,여,4400,3,월세,532,2,1240,48.5,3900,전세자금,원리금균등,24,0
27,남,2000,2,전세,551,0,990,52.5,2900,자동차,원리금균등,60,0
39,여,4000,6,전세,449,0,1230,36.9,3100,전세자금,원리금균등,60,1
23,남,2400,0,월세,468,2,1310,43.6,2900,자동차,원리금균등,24,0
26,여,4100,1,전세,491,2,2110,24.4,1900,자동차,만기일시,48,1
39,남,6400,7,전세,569,1,1370,20.6,6600,생활비,원리금균등,36,1
44,여,3500,14,자가,530,0,1900,20.1,3300,사업자금,원리금균등,36,1
39,남,3800,11,전세,550,0,2670,35.2,2600,전세자금,원금균등,48,1
36,남,3600,2,월세,424,0,880,37.1,1500,전세자금,원리금균등,36,0
35,남,3200,11,전세,630,0,1620,33.2,6000,자동차,원금균등,48,0
24,여,2400,1,전세,522,1,850,7.4,4700,전세자금,원금균등,12,0
31,남,2600,4,전세,409,0,1100,33.9,3000,교육비,원금균등,36,0
33,남,2400,3,월세,472,0,770,23.6,1500,자동차,원금균등,36,1
47,남,5700,11,자가,638,2,2060,40.1,6800,사업자금,원리금균등,36,1
41,여,4600,8,전세,542,0,760,20.3,2400,자동차,원금균등,36,1
23,여,1700,0,월세,461,1,1250,36.7,2100,생활비,원리금균등,24,0
40,남,5400,8,자가,588,0,2830,20.5,2900,생활비,원리금균등,36,1
34,남,2900,7,월세,591,5,1300,45.4,3600,생활비,만기일시,36,0
31,남,3500,4,전세,440,1,1330,21.2,2700,전세자금,원리금균등,48,1
43,남,5600,14,전세,670,1,2650,20.7,500,주택구입,만기일시,36,1
47,남,4700,12,자가,542,1,1770,22.3,3300,의료비,원리금균등,48,1
46,여,4800,0,자가,546,1,1750,48.7,4700,전세자금,원리금균등,24,1
30,남,2700,3,전세,539,1,1150,38.7,1900,사업자금,원리금균등,36,1
35,여,3000,6,자가,517,3,940,46.1,6500,주택구입,원금균등,12,0
